IP,NETNAME,ORGANIZATION,COUNTRY,DNS RESOLVE
64.4.23.0-64.4.23.255 (64.4.23.5),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.6),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.7),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.8),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.9),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.10),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.11),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.12),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.13),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.14),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.15),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.16),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.17),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.18),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.19),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.20),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.21),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.22),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.23),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.24),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.25),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.26),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.27),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.28),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.29),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.30),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.31),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.32),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.33),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.34),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.35),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.36),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.37),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.38),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.39),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.40),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.41),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.42),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.43),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.44),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.45),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.46),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.47),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.48),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.49),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.50),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.51),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.52),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.53),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.54),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.55),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.56),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.57),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.58),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.59),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.60),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.61),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.62),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.63),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.64),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.65),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.66),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.67),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.68),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.69),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.70),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.71),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.72),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.73),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.74),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.75),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.76),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.77),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.78),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.79),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.80),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.81),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.82),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.83),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.84),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.85),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.86),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.87),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.88),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.89),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.90),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.91),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.92),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.93),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.94),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.95),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.96),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.97),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.98),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.99),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.100),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.101),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.102),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.103),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.104),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.105),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.106),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.107),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.108),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.109),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.110),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.111),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.112),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.113),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.114),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.115),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.116),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.117),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.118),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.119),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.120),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.121),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.122),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.123),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.124),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.125),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.126),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.127),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.128),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.129),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.130),MICROSOFT,Microsoft Corporation (MSFT),US,po31-289.bay-6nf-1a.ntwk.msn.net
64.4.23.0-64.4.23.255 (64.4.23.131),MICROSOFT,Microsoft Corporation (MSFT),US,po31-289.bay-6nf-1b.ntwk.msn.net
64.4.23.0-64.4.23.255 (64.4.23.132),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.133),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.134),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.135),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.136),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.137),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.138),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.139),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.140),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.141),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.142),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.143),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.144),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.145),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.146),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.147),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.148),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.149),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.150),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.151),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.152),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.153),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.154),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.155),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.156),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.157),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.158),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.159),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.160),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.161),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.162),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.163),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.164),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.165),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.166),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.167),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.168),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.169),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.170),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.171),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.172),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.173),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.174),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.175),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.176),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.177),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.178),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.179),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.180),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.181),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.182),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.183),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.184),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.185),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.186),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.187),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.188),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.189),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.190),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.191),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.192),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.193),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.194),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.195),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.196),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.197),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.198),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.199),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.200),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.201),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.202),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.203),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.204),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.205),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.206),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.207),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.208),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.209),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.210),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.211),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.212),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.213),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.214),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.215),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.216),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.217),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.218),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.219),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.220),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.221),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.222),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.223),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.224),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.225),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.226),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.227),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.228),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.229),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.230),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.231),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.232),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.233),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.234),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.235),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.236),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.237),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.238),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.239),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.240),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.241),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.242),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.243),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.244),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.245),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.246),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.247),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.248),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.249),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.250),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.251),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.252),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.253),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.254),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.54.22,MICROSOFT,Microsoft Corporation (MSFT),US,msnbot-64-4-54-22.search.msn.com
64.4.54.32,MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.54.254,MICROSOFT,Microsoft Corporation (MSFT),US,
65.39.117.230,PINPOINT-PNPT,Pinpoint Communications. Inc. (PINPO),US,
